No,Template,Correct Option Template,Wrong Options Template,Example Question,Option 1,Option 2,Option 3,Option 4,Reasoning Category,Cultural Aspect
79,"In [COUNTRY], which month contains a national holiday that is NOT related to [SPECIFIC THEME/ORIGIN]?",[Month containing at least one major holiday outside the [SPECIFIC THEME/ORIGIN]],[Months with holidays exclusively related to the [SPECIFIC THEME/ORIGIN]],"In the United States, which month contains a national holiday that is NOT related to patriotism or national identity?",November ,July ,June,May,Temporal Reasoning,Time
80,Which of the following is not a traditional clothing item or costume worn during [EVENT/FESTIVAL] in [COUNTRY/REGION]?,[Item not worn traditionally during [EVENT/FESTIVAL] in [COUNTRY/REGION]],[Culturally appropriate items during [EVENT/FESTIVAL] in [COUNTRY/REGION]],Which of the following is not traditionally worn during Losar in Tibet?,Hanfu,Chuba,Sheep wool hat,Brocade apron,"Commonsense Reasoning, Multi-hop Reasoning",Social Customs
81,"In [COUNTRY], which age group or social category is LEAST likely to use the expression ""[COMMON PHRASE]"" to describe [MEANING OF EXPRESSION TO THEM]?",[Demographics that rarely use the expression],[Demographics known to commonly use the expression],"In the United States, which group is LEAST likely to use the slang term 'lit' to describe something exciting?",Senior citizens (65+),Teenagers,College students,Social media users,Multi-hop Reasoning,Language and Communication
82,"Which traditional musical instrument from [COUNTRY/REGION] has the earliest known history?
",[Instrument from [COUNTRY/REGION] with earliest history],[Instrument from [COUNTRY/REGION] with later history],Which traditional musical instrument from China has the earliest known history?,Guqin,Pipa,Yangqin,Erhu,Temporal Reasoning,Music and Art
83,"In [CULTURE/REGION], which of the following actions is considered unlucky or taboo during pregnancy?",[Unlucky event during pregnancy In [CULTURE/REGION]],[Neutral or lucky event during pregnancy in [CULTURE/REGION]],"In Chinese culture, which of the following actions is considered unlucky during pregnancy?",Cutting hair,Lighting candles,Wearing black,Hanging mirrors,Commonsense Reasoning,"Social Customs, Pregnancy and Kids"
84,Which of the following regions of [COUNTRY] has a greeting custom different from the [MAINSTREAM/REFERENCE REGION]?,[Region with distinctive greeting traditions],[Regions sharing the same greeting customs as the [MAINSTREAM/REFERENCE REGION]],Which of the following regions of the United States has a greeting custom different from the general Midwest?,Hawaii,Ohio,Illinois,Minnesota,"Commonsense Reasoning, Multi-hop Reasoning","Language and Communication, Social Customs"
85,"In [CULTURE/REGION], how many days after death is [ritual/event] traditionally performed?", [Correct number of days], [Incorrect number of days],"In traditional Chinese culture, how many days after death is the main funeral ceremony typically held?",3 days,5 days,2 days,7 days,Commonsense Reasoning,"Social Customs, Death"
86,Which of the following authors is traditionally associated with [CULTURE/REGION]'s literary history?,[Author associated with [CULTURE/REGION]'s literary history],[Author NOT associated with [CULTURE/REGION]'s literary history],Which of the following authors is traditionally associated with classical Persian literature?,Ferdowsi,Homer,Bashō,Tolstoy,"Multi-hop Reasoning, Commonsense Reasoning",Literature and written works
87,In what year did the highest-paid actor in [COUNTRY] in [YEAR] make their professional debut?,[Correct debut year for the highest-paid actor in [COUNTRY] in [YEAR]],[Wrong debut year for the highest-paid actor in [COUNTRY] in [YEAR]],In what year did the highest-paid actor in China in 2020 make their professional debut?,2010,2005,2001,1999,"Logical Reasoning, Multi-hop Reasoning","Music and Art, Famous People"
88,"In [CULTURE] sports tradition, what happens when [CONDITION]?",[Traditional response in [CULTURE] to [CONDITION]],[Non-traditional response in [CULTURE] to [CONDITION]],"In American baseball tradition, what happens when a player hits a home run?",The team comes out to greet the player at home plate,The game pauses for 5 minutes,The opposing team applauds,The player must buy drinks for everyone after the game,"Causal Reasoning, Commonsense Reasoning","Traditional Games, Social Customs"
89,"In [CULTURE] classroom etiquette, how should students address a [EDUCATION FIGURE]?",[Appropriate form of address for [EDUCATION FIGURE] in [CULTURE]],[Inappropriate form of address for [EDUCATION FIGURE] in [CULTURE]],"In German classroom etiquette, how should students address university professors?",With their title and last name,By first name,Teacher,"With no name, just raise hand","Logical Reasoning, Commonsense Reasoning","Language and Communication, Social Customs"
90,"In [CULTURE] fashion, what determines the [GARMENT FEATURE]?",[Determinant of [GARMENT FEATURE] in [CULTURE]],[non-determinant of [GARMENT FEATURE] in [CULTURE]],"In Scottish fashion, what determines the tartan pattern of a kilt?",Family clan or regional affiliation,Social class,Season of purchase,Personal color preference,Logical Reasoning,"Relationships, Material Culture"
91,"According to [CULTURE] table manners, when should one [ACTION WITH UTENSIL]?",[Appropriate timing for [ACTION WITH UTENSIL] in [CULTURE]],[Inappropriate timing for [ACTION WITH UTENSIL] in [CULTURE]],"According to French table manners, when should one place the knife and fork together?",When finished eating,Before the meal begins,When speaking to the host,When complimenting the chef,"Commonsense Reasoning, Temporal Reasoning","Food and Cuisine , Social Customs"
92,Which [OBJECT] would traditionally be found in a [CULTURE] [SETTING]?,[[OBJECT] traditionally found in [CULTURE] [SETTING]],[[OBJECT] not traditionally found in [CULTURE] [SETTING]],Which object would traditionally be found in a Russian bathhouse?,Birch branches,Incense burners,Television,Prayer mats,"Commonsense Reasoning, Logical Reasoning","Social Customs, Material Culture"
93,At what point during [CULTURE] [CEREMONY] is it appropriate to [ACTION]?,[Appropriate timing for [ACTION] during [CULTURE] [CEREMONY]],[Inappropriate timing for [ACTION] during [CULTURE] [CEREMONY]],At what point during American graduation ceremony is it appropriate to move the tassel?,After receiving the diploma,Before walking on stage,During the national anthem,When the valedictorian speaks,"Logical Reasoning, Temporal Reasoning","Social Customs, Time"
94,"In [CULTURE] newspapers, where would you typically find [CONTENT TYPE]?",[Typical location of [CONTENT TYPE] in [CULTURE] newspapers],[Non-typical location of [CONTENT TYPE] in [CULTURE] newspapers],"In British newspapers, where would you typically find political editorials?","Middle pages, after news but before sports",Front page,Final page,Mixed with news stories,"Logical Reasoning, Spatial Reasoning",Social Customs
95,"[PAINTING 1] -> [PERSON 1]\n
[PAINTING 2] -> ?",[[PERSON] associated with [PAINTING 2]],[[PERSON] not associated with [PAINTING 2]],"The Mona Lisa -> Leonardo da Vinci\n
The Scream -> ?",Edvard Munch,Pablo Picasso,Vincent van Gogh,Claude Monet,"Multi-hop Reasoning, Logical Reasoning","Music and Art, Famous People"
96,"[SCULPTURE 1] -> [PERSON 1]\n
[SCULPTURE 2] -> ?",[[PERSON] associated with [SCULPTURE 2]],[[PERSON] not associated with [SCULPTURE 2]],"David -> Michelangelo\n
The Thinker -> ?",Auguste Rodin,Donatello,Bernini,Henry Moore,"Logical Reasoning, Multi-hop Reasoning","Music and Art, Famous People"
97,"Which state, region or country has the largest time zone difference from [COUNTRY]?","[The state/region/country with the maximum time zone difference from [COUNTRY]]
",[States/Regions/Countries with smaller time zone differences],Which state has the largest time zone difference from New York?,Hawaii,California,Texas,Florida,"Mathematical Reasoning, Commonsense Reasoning, Multi-hop Reasoning, Spatial Reasoning","Time, Landmarks and Architecture"
98,Which of the following structures or buildings in [COUNTRY/REGION] is the oldest?,[The structure with the earliest confirmed construction date],[More recently constructed buildings],Which of the following buildings in Washington D.C. is the oldest?,The White House,The Washington Monument ,The Lincoln Memorial,The Kennedy Center ,"Mathematical Reasoning, Multi-hop Reasoning","Landmarks and Architecture, Time"
99,"[TRIBE 1/ REGION 1] -> [SIGNATURE DISH 1]\n
[TRIBE 2/ REGION 2] -> ?",[The authentic signature dish of the specified region],[Dishes from other regions of the country],"Java -> Nasi Gudeg\n
Padang -> ?",Rendang,Soto Betawi,Papeda,Babi Guling,"Logical Reasoning, Commonsense Reasoning, Spatial Reasoning",Food and Cuisine
100,Which of the following leaders/officials of [COUNTRY/ORGANIZATION] served the longest time in office?,[The leader with the longest documented tenure],[Leaders with shorter terms of service],Which of the following governors of California served the longest time in office?,Jerry Brown,Arnold Schwarzenegger,Ronald Reagan,Gavin Newsom,"Logical Reasoning, Temporal Reasoning, Multi-hop Reasoning","Famous People, Politics and Governance"
